Organisation,Price,Mission_Status,Country,Year,Cantidad de Viajes
SpaceX,50,Success,USA,2018,21
SpaceX,50,Success,USA,2018,21
SpaceX,50,Success,USA,2018,21
SpaceX,50,Success,USA,2018,21
SpaceX,50,Success,USA,2018,21
SpaceX,50,Success,USA,2018,21
SpaceX,50,Success,USA,2018,21
SpaceX,50,Success,USA,2018,21
SpaceX,50,Success,USA,2018,21
SpaceX,62,Success,USA,2018,21
SpaceX,62,Success,USA,2018,21
SpaceX,62,Success,USA,2018,21
SpaceX,50,Success,USA,2018,21
SpaceX,62,Success,USA,2018,21
SpaceX,62,Success,USA,2018,21
SpaceX,62,Success,USA,2018,21
SpaceX,62,Success,USA,2018,21
SpaceX,62,Success,USA,2018,21
SpaceX,90,Success,USA,2018,21
SpaceX,62,Success,USA,2018,21
SpaceX,62,Success,USA,2018,21
VKS RF,65,Success,Kazakhstan,2018,5
VKS RF,41,Success,Russia,2018,5
VKS RF,48,Success,Russia,2018,5
VKS RF,0,Success,Russia,2018,5
VKS RF,65,Success,Kazakhstan,2018,5
Arianespace,0,Success,France,2018,11
Arianespace,200,Success,France,2018,11
Arianespace,37,Success,France,2018,11
Arianespace,0,Success,France,2018,11
Arianespace,200,Success,France,2018,11
Arianespace,200,Success,France,2018,11
Arianespace,37,Success,France,2018,11
Arianespace,0,Success,France,2018,11
Arianespace,200,Success,France,2018,11
Arianespace,0,Success,France,2018,11
Arianespace,200,Partial Failure,France,2018,11
ISRO,47,Success,India,2018,7
ISRO,21,Success,India,2018,7
ISRO,62,Success,India,2018,7
ISRO,21,Success,India,2018,7
ISRO,31,Success,India,2018,7
ISRO,47,Success,India,2018,7
ISRO,31,Success,India,2018,7
Rocket Lab,7,Success,New Zealand,2018,3
Rocket Lab,7,Success,New Zealand,2018,3
Rocket Lab,7,Success,New Zealand,2018,3
Northrop,85,Success,USA,2018,2
Northrop,85,Success,USA,2018,2
MHI,90,Success,Japan,2018,4
MHI,112,Success,Japan,2018,4
MHI,90,Success,Japan,2018,4
MHI,90,Success,Japan,2018,4
Landspace,0,Failure,China,2018,1
ULA,153,Success,USA,2018,8
ULA,0,Success,USA,2018,8
ULA,350,Success,USA,2018,8
ULA,109,Success,USA,2018,8
ULA,153,Success,USA,2018,8
ULA,145,Success,USA,2018,8
ULA,115,Success,USA,2018,8
ULA,0,Success,USA,2018,8
ExPace,0,Success,China,2018,1
Exos,0,Partial Failure,New Mexico,2018,1
Blue Origin,0,Success,USA,2018,2
Blue Origin,0,Success,USA,2018,2
Eurockot,41,Success,Russia,2018,1
JAXA,0,Success,Japan,2018,2
JAXA,39,Success,Japan,2018,2
Land Launch,0,Success,Kazakhstan,2017,1
CASC,30,Success,China,2017,16
CASC,29,Success,China,2017,16
CASC,29,Success,China,2017,16
CASC,29,Success,China,2017,16
CASC,30,Success,China,2017,16
CASC,0,Success,China,2017,16
CASC,64,Success,China,2017,16
CASC,0,Success,China,2017,16
CASC,29,Success,China,2017,16
CASC,30,Success,China,2017,16
CASC,0,Failure,China,2017,16
CASC,29,Partial Failure,China,2017,16
CASC,64,Success,China,2017,16
CASC,0,Success,China,2017,16
CASC,29,Success,China,2017,16
CASC,29,Success,China,2017,16
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
SpaceX,62,Success,USA,2017,18
MHI,90,Success,Japan,2017,6
MHI,90,Success,Japan,2017,6
MHI,0,Success,Japan,2017,6
MHI,90,Success,Japan,2017,6
MHI,90,Success,Japan,2017,6
MHI,0,Success,Japan,2017,6
Roscosmos,0,Success,Kazakhstan,2017,9
Roscosmos,0,Failure,Russia,2017,9
Roscosmos,48,Success,Kazakhstan,2017,9
Roscosmos,0,Success,Kazakhstan,2017,9
Roscosmos,0,Success,Kazakhstan,2017,9
Roscosmos,48,Partial Failure,Kazakhstan,2017,9
Roscosmos,48,Success,Kazakhstan,2017,9
Roscosmos,0,Success,Kazakhstan,2017,9
Roscosmos,0,Success,Kazakhstan,2017,9
Blue Origin,0,Success,USA,2017,1
Arianespace,0,Success,France,2017,11
Arianespace,37,Success,France,2017,11
Arianespace,200,Success,France,2017,11
Arianespace,37,Success,France,2017,11
Arianespace,200,Success,France,2017,11
Arianespace,200,Success,France,2017,11
Arianespace,0,Success,France,2017,11
Arianespace,200,Success,France,2017,11
Arianespace,37,Success,France,2017,11
Arianespace,200,Success,France,2017,11
Arianespace,0,Success,France,2017,11
VKS RF,35,Success,Russia,2017,6
VKS RF,65,Success,Kazakhstan,2017,6
VKS RF,0,Success,Russia,2017,6
VKS RF,65,Success,Kazakhstan,2017,6
VKS RF,0,Success,Russia,2017,6
VKS RF,0,Success,Russia,2017,6
ULA,0,Success,USA,2017,8
ULA,123,Success,USA,2017,8
ULA,145,Success,USA,2017,8
ULA,109,Success,USA,2017,8
ULA,109,Success,USA,2017,8
ULA,0,Success,USA,2017,8
ULA,109,Success,USA,2017,8
ULA,109,Success,USA,2017,8
Northrop,85,Success,USA,2017,3
Northrop,45,Success,USA,2017,3
Northrop,46,Success,USA,2017,3
Eurockot,41,Success,Russia,2017,1
ILS,65,Success,Kazakhstan,2017,2
ILS,65,Success,Kazakhstan,2017,2
ISRO,31,Failure,India,2017,5
ISRO,31,Success,India,2017,5
ISRO,62,Success,India,2017,5
ISRO,47,Success,India,2017,5
ISRO,31,Success,India,2017,5
ISA,0,Failure,Iran,2017,1
Rocket Lab,7,Failure,New Zealand,2017,1
CASIC,0,Success,China,2017,1
JAXA,0,Failure,Japan,2017,1
ExPace,0,Success,China,2017,1
CASC,29,Partial Failure,China,2016,22
CASC,29,Success,China,2016,22
CASC,29,Success,China,2016,22
CASC,0,Success,China,2016,22
CASC,29,Success,China,2016,22
CASC,5,Success,China,2016,22
CASC,0,Success,China,2016,22
CASC,0,Success,China,2016,22
CASC,0,Success,China,2016,22
CASC,64,Failure,China,2016,22
CASC,29,Success,China,2016,22
CASC,64,Success,China,2016,22
CASC,29,Success,China,2016,22
CASC,64,Success,China,2016,22
CASC,0,Success,China,2016,22
CASC,0,Success,China,2016,22
CASC,64,Success,China,2016,22
CASC,29,Success,China,2016,22
CASC,29,Success,China,2016,22
CASC,69,Success,China,2016,22
CASC,0,Success,China,2016,22
CASC,29,Success,China,2016,22
Arianespace,200,Success,France,2016,11
Arianespace,37,Success,France,2016,11
Arianespace,0,Success,France,2016,11
Arianespace,200,Success,France,2016,11
Arianespace,37,Success,France,2016,11
Arianespace,200,Success,France,2016,11
Arianespace,200,Success,France,2016,11
Arianespace,0,Success,France,2016,11
Arianespace,0,Success,France,2016,11
Arianespace,200,Success,France,2016,11
Arianespace,200,Success,France,2016,11
JAXA,0,Success,Japan,2016,1
ULA,130,Success,USA,2016,12
ULA,0,Success,USA,2016,12
ULA,145,Success,USA,2016,12
ULA,109,Success,USA,2016,12
ULA,115,Success,USA,2016,12
ULA,164,Success,USA,2016,12
ULA,123,Success,USA,2016,12
ULA,153,Success,USA,2016,12
ULA,350,Success,USA,2016,12
ULA,109,Success,USA,2016,12
ULA,0,Success,USA,2016,12
ULA,109,Success,USA,2016,12
Northrop,40,Success,USA,2016,2
Northrop,85,Success,USA,2016,2
MHI,112,Success,Japan,2016,3
MHI,90,Success,Japan,2016,3
MHI,90,Success,Japan,2016,3
ISRO,31,Success,India,2016,7
ISRO,25,Success,India,2016,7
ISRO,47,Success,India,2016,7
ISRO,31,Success,India,2016,7
ISRO,31,Success,India,2016,7
ISRO,31,Success,India,2016,7
ISRO,31,Success,India,2016,7
Roscosmos,0,Failure,Kazakhstan,2016,10
Roscosmos,0,Success,Kazakhstan,2016,10
Roscosmos,0,Success,Kazakhstan,2016,10
Roscosmos,0,Success,Kazakhstan,2016,10
Roscosmos,0,Success,Kazakhstan,2016,10
Roscosmos,0,Success,Russia,2016,10
Roscosmos,48,Success,Kazakhstan,2016,10
Roscosmos,0,Success,Kazakhstan,2016,10
Roscosmos,65,Success,Kazakhstan,2016,10
Roscosmos,35,Success,Kazakhstan,2016,10
Blue Origin,0,Success,USA,2016,4
Blue Origin,0,Success,USA,2016,4
Blue Origin,0,Success,USA,2016,4
Blue Origin,0,Success,USA,2016,4
IAI,0,Success,Israel,2016,1
SpaceX,62,Prelaunch Failure,USA,2016,9
SpaceX,62,Success,USA,2016,9
SpaceX,62,Success,USA,2016,9
SpaceX,62,Success,USA,2016,9
SpaceX,62,Success,USA,2016,9
SpaceX,62,Success,USA,2016,9
SpaceX,62,Success,USA,2016,9
SpaceX,62,Success,USA,2016,9
SpaceX,56,Success,USA,2016,9
ILS,65,Success,Kazakhstan,2016,2
ILS,65,Success,Kazakhstan,2016,2
VKS RF,41,Success,Russia,2016,4
VKS RF,48,Success,Russia,2016,4
VKS RF,48,Success,Russia,2016,4
VKS RF,48,Success,Russia,2016,4
Eurockot,41,Success,Russia,2016,1
KCST,0,Success,North Korea,2016,1
SpaceX,62,Success,USA,2015,7
SpaceX,56,Failure,USA,2015,7
SpaceX,56,Success,USA,2015,7
SpaceX,56,Success,USA,2015,7
SpaceX,56,Success,USA,2015,7
SpaceX,56,Success,USA,2015,7
SpaceX,56,Success,USA,2015,7
Arianespace,0,Success,France,2015,12
Arianespace,37,Success,France,2015,12
Arianespace,200,Success,France,2015,12
Arianespace,200,Success,France,2015,12
Arianespace,0,Success,France,2015,12
Arianespace,200,Success,France,2015,12
Arianespace,200,Success,France,2015,12
Arianespace,37,Success,France,2015,12
Arianespace,200,Success,France,2015,12
Arianespace,200,Success,France,2015,12
Arianespace,0,Success,France,2015,12
Arianespace,37,Success,France,2015,12
ISRO,21,Success,India,2015,5
ISRO,31,Success,India,2015,5
ISRO,47,Success,India,2015,5
ISRO,31,Success,India,2015,5
ISRO,31,Success,India,2015,5
Roscosmos,0,Success,Kazakhstan,2015,1
ULA,109,Success,USA,2015,12
ULA,109,Success,USA,2015,12
ULA,109,Success,USA,2015,12
ULA,123,Success,USA,2015,12
ULA,153,Success,USA,2015,12
ULA,0,Success,USA,2015,12
ULA,109,Success,USA,2015,12
ULA,120,Success,USA,2015,12
ULA,164,Success,USA,2015,12
ULA,123,Success,USA,2015,12
ULA,0,Success,USA,2015,12
ULA,153,Success,USA,2015,12
VKS RF,0,Partial Failure,Russia,2015,3
VKS RF,41,Success,Russia,2015,3
VKS RF,41,Success,Russia,2015,3
MHI,0,Success,Japan,2015,4
MHI,112,Success,Japan,2015,4
MHI,90,Success,Japan,2015,4
MHI,90,Success,Japan,2015,4
Blue Origin,0,Success,USA,2015,2
Blue Origin,0,Success,USA,2015,2
Sandia,15,Failure,Pacific Missile Range Facility,2015,1
CASC,5,Success,China,2015,2
CASC,0,Success,China,2015,2
Kosmotras,29,Success,Russia,2015,1
ISA,0,Failure,Iran,2015,2
ISA,0,Success,Iran,2015,2
Khrunichev,0,Success,Russia,2014,1
VKS RF,0,Success,Kazakhstan,2014,4
VKS RF,0,Success,Russia,2014,4
VKS RF,41,Success,Russia,2014,4
VKS RF,41,Success,Russia,2014,4
Arianespace,0,Success,France,2014,11
Arianespace,200,Success,France,2014,11
Arianespace,200,Success,France,2014,11
Arianespace,200,Success,France,2014,11
Arianespace,0,Partial Failure,France,2014,11
Arianespace,0,Success,France,2014,11
Arianespace,0,Success,France,2014,11
Arianespace,37,Success,France,2014,11
Arianespace,0,Success,France,2014,11
Arianespace,200,Success,France,2014,11
Arianespace,200,Success,France,2014,11
ISRO,62,Success,India,2014,5
ISRO,31,Success,India,2014,5
ISRO,21,Success,India,2014,5
ISRO,31,Success,India,2014,5
ISRO,47,Success,India,2014,5
ULA,145,Success,USA,2014,14
ULA,350,Success,USA,2014,14
ULA,109,Success,USA,2014,14
ULA,109,Success,USA,2014,14
ULA,109,Success,USA,2014,14
ULA,109,Success,USA,2014,14
ULA,164,Success,USA,2014,14
ULA,0,Success,USA,2014,14
ULA,109,Success,USA,2014,14
ULA,164,Success,USA,2014,14
ULA,145,Success,USA,2014,14
ULA,109,Success,USA,2014,14
ULA,164,Success,USA,2014,14
ULA,109,Success,USA,2014,14
MHI,90,Success,Japan,2014,4
MHI,90,Success,Japan,2014,4
MHI,90,Success,Japan,2014,4
MHI,90,Success,Japan,2014,4
CASIC,0,Success,China,2014,1
Kosmotras,29,Success,Russia,2014,2
Kosmotras,29,Success,Russia,2014,2
Northrop,80,Failure,USA,2014,3
Northrop,80,Success,USA,2014,3
Northrop,80,Success,USA,2014,3
SpaceX,56,Success,USA,2014,6
SpaceX,56,Success,USA,2014,6
SpaceX,56,Success,USA,2014,6
SpaceX,56,Success,USA,2014,6
SpaceX,56,Success,USA,2014,6
SpaceX,56,Success,USA,2014,6
Sea Launch,0,Success,Pacific Ocean,2014,1
IAI,0,Success,Israel,2014,1
VKS RF,0,Success,Russia,2013,7
VKS RF,41,Success,Russia,2013,7
VKS RF,41,Success,Russia,2013,7
VKS RF,41,Success,Russia,2013,7
VKS RF,65,Failure,Kazakhstan,2013,7
VKS RF,0,Success,Kazakhstan,2013,7
VKS RF,41,Partial Failure,Russia,2013,7
Arianespace,0,Success,France,2013,7
Arianespace,200,Success,France,2013,7
Arianespace,200,Success,France,2013,7
Arianespace,0,Success,France,2013,7
Arianespace,0,Success,France,2013,7
Arianespace,37,Success,France,2013,7
Arianespace,200,Success,France,2013,7
ULA,120,Success,USA,2013,11
ULA,109,Success,USA,2013,11
ULA,140,Success,USA,2013,11
ULA,350,Success,USA,2013,11
ULA,0,Success,USA,2013,11
ULA,153,Success,USA,2013,11
ULA,0,Success,USA,2013,11
ULA,109,Success,USA,2013,11
ULA,109,Success,USA,2013,11
ULA,109,Success,USA,2013,11
ULA,109,Success,USA,2013,11
SpaceX,56,Success,USA,2013,3
SpaceX,56,Success,USA,2013,3
SpaceX,59,Success,USA,2013,3
Kosmotras,29,Success,Russia,2013,2
Kosmotras,29,Success,Russia,2013,2
Northrop,40,Success,USA,2013,5
Northrop,80,Success,USA,2013,5
Northrop,55,Success,USA,2013,5
Northrop,40,Success,USA,2013,5
Northrop,80,Success,USA,2013,5
ISRO,31,Success,India,2013,3
ISRO,31,Success,India,2013,3
ISRO,21,Success,India,2013,3
CASIC,0,Success,China,2013,1
JAXA,0,Success,Japan,2013,1
Land Launch,0,Success,Kazakhstan,2013,1
MHI,112,Success,Japan,2013,2
MHI,90,Success,Japan,2013,2
CASC,0,Success,China,2013,1
Sea Launch,0,Failure,Pacific Ocean,2013,1
KARI,0,Success,South Korea,2013,1
Arianespace,200,Success,France,2012,9
Arianespace,80,Success,France,2012,9
Arianespace,200,Success,France,2012,9
Arianespace,0,Success,France,2012,9
Arianespace,200,Success,France,2012,9
Arianespace,200,Success,France,2012,9
Arianespace,200,Success,France,2012,9
Arianespace,200,Success,France,2012,9
Arianespace,0,Success,France,2012,9
KCST,0,Success,North Korea,2012,2
KCST,0,Failure,North Korea,2012,2
ULA,120,Success,USA,2012,10
ULA,164,Success,USA,2012,10
ULA,109,Success,USA,2012,10
ULA,109,Success,USA,2012,10
ULA,350,Success,USA,2012,10
ULA,109,Success,USA,2012,10
ULA,140,Success,USA,2012,10
ULA,0,Success,USA,2012,10
ULA,153,Success,USA,2012,10
ULA,0,Success,USA,2012,10
Sea Launch,0,Success,Pacific Ocean,2012,3
Sea Launch,0,Success,Pacific Ocean,2012,3
Sea Launch,0,Success,Pacific Ocean,2012,3
SpaceX,59,Partial Failure,USA,2012,2
SpaceX,59,Success,USA,2012,2
ISA,0,Failure,Iran,2012,3
ISA,0,Failure,Iran,2012,3
ISA,0,Success,Iran,2012,3
ISRO,21,Success,India,2012,3
ISRO,31,Success,India,2012,3
ISRO,31,Success,India,2012,3
VKS RF,41,Success,Russia,2012,1
MHI,112,Success,Japan,2012,2
MHI,90,Success,Japan,2012,2
CASC,0,Success,China,2012,1
Northrop,40,Success,USA,2012,1
ESA,37,Success,France,2012,1
Arianespace,80,Success,France,2011,7
Arianespace,0,Success,France,2011,7
Arianespace,200,Success,France,2011,7
Arianespace,200,Success,France,2011,7
Arianespace,200,Success,France,2011,7
Arianespace,200,Success,France,2011,7
Arianespace,0,Success,France,2011,7
MHI,90,Success,Japan,2011,4
MHI,90,Success,Japan,2011,4
MHI,90,Success,Japan,2011,4
MHI,112,Success,Japan,2011,4
ULA,145,Success,USA,2011,11
ULA,0,Success,USA,2011,11
ULA,0,Success,USA,2011,11
ULA,153,Success,USA,2011,11
ULA,164,Success,USA,2011,11
ULA,0,Success,USA,2011,11
ULA,109,Success,USA,2011,11
ULA,115,Success,USA,2011,11
ULA,164,Success,USA,2011,11
ULA,120,Success,USA,2011,11
ULA,350,Success,USA,2011,11
Roscosmos,0,Success,Kazakhstan,2011,3
Roscosmos,0,Success,Kazakhstan,2011,3
Roscosmos,0,Success,Kazakhstan,2011,3
CASC,0,Success,China,2011,2
CASC,0,Success,China,2011,2
ISRO,21,Success,India,2011,3
ISRO,31,Success,India,2011,3
ISRO,25,Success,India,2011,3
Land Launch,0,Success,Kazakhstan,2011,1
Northrop,46,Success,USA,2011,4
Northrop,40,Success,USA,2011,4
Northrop,45,Failure,USA,2011,4
Northrop,40,Success,USA,2011,4
Sea Launch,0,Success,Pacific Ocean,2011,1
Kosmotras,29,Success,Russia,2011,1
NASA,450,Success,USA,2011,3
NASA,450,Success,USA,2011,3
NASA,450,Success,USA,2011,3
ISA,0,Success,Iran,2011,1
VKS RF,41,Partial Failure,Russia,2011,1
Arianespace,200,Success,France,2010,6
Arianespace,200,Success,France,2010,6
Arianespace,200,Success,France,2010,6
Arianespace,200,Success,France,2010,6
Arianespace,200,Success,France,2010,6
Arianespace,200,Success,France,2010,6
ISRO,47,Failure,India,2010,3
ISRO,21,Success,India,2010,3
ISRO,47,Failure,India,2010,3
SpaceX,59,Success,USA,2010,2
SpaceX,59,Success,USA,2010,2
ULA,350,Success,USA,2010,8
ULA,0,Success,USA,2010,8
ULA,120,Success,USA,2010,8
ULA,140,Success,USA,2010,8
ULA,164,Success,USA,2010,8
ULA,120,Success,USA,2010,8
ULA,164,Success,USA,2010,8
ULA,109,Success,USA,2010,8
Northrop,46,Success,USA,2010,2
Northrop,46,Success,USA,2010,2
VKS RF,0,Success,Russia,2010,3
VKS RF,41,Success,Russia,2010,3
VKS RF,0,Success,Russia,2010,3
IAI,0,Success,Israel,2010,1
Kosmotras,29,Success,Kazakhstan,2010,3
Kosmotras,29,Success,Russia,2010,3
Kosmotras,29,Success,Kazakhstan,2010,3
KARI,0,Failure,South Korea,2010,1
Eurockot,41,Success,Russia,2010,1
NASA,450,Success,USA,2010,3
NASA,450,Success,USA,2010,3
NASA,450,Success,USA,2010,3
MHI,90,Success,Japan,2010,1
Roscosmos,0,Success,Kazakhstan,2010,3
Roscosmos,0,Success,Kazakhstan,2010,3
Roscosmos,0,Success,Kazakhstan,2010,3
Arianespace,0,Success,France,2009,7
Arianespace,200,Success,France,2009,7
Arianespace,200,Success,France,2009,7
Arianespace,200,Success,France,2009,7
Arianespace,200,Success,France,2009,7
